"Name	Category	Gene 1	Gene 2	Breedable	Bingo	Incubation"
"Owlock	Legendary	Galactic	Zoomorph	If owned	11	60"
"Ammonia Atlantica	Legendary	Galactic	Zoomorph	If owned	12	60"
"Ctopy	Exclusive	Galactic	Zoomorph	No	99	60"
"Astro Surfer	Common	Galactic	Galactic	Yes	1	720"
"Supernovus	PvP	Galactic	Galactic	If owned	2	60"
"Master Oida	Legendary	Galactic	Galactic	Yes	3	180"
"Flying Jordson	Legendary	Galactic	Galactic	If owned	4	60"
"Selendis	PvP	Galactic	Galactic	If owned	5	60"
"Rakkti Queen	Legendary	Galactic	Galactic	If owned	6	60"
"Marship Mallow	Legendary	Galactic	Galactic	If owned	7	60"
"Golemagnus	Legendary	Galactic	Galactic	If owned	8	60"
"Megastral	Legendary	Galactic	Galactic	If owned	9	60"
"Extra Terrorcycle	Legendary	Galactic	Galactic	If owned	10	60"
"Gestalt Asteroid	Legendary	Galactic	Galactic	If owned	11	60"
"Polaris	Exclusive	Galactic	Galactic	No	12	60"
"Irreality Animus	Exclusive	Galactic	Galactic	No	99	60"
"Nebulon	Common	Galactic	Mythic	Yes	1	900"
"Mr Marvelous	Reactor	Galactic	Mythic	No	2	60"
"Aquapunzel	Zodiac	Galactic	Mythic	No	3	60"
"Mephisto	Legendary	Galactic	Mythic	If owned	4	60"
"Kraken	Legendary	Galactic	Mythic	If owned	5	60"
"Mandor	Legendary	Galactic	Mythic	If owned	6	60"
"Kal Wayne	Legendary	Galactic	Mythic	If owned	7	60"
"Seiyatsu	Exclusive	Galactic	Mythic	No	8	60"
"Mage Ryzafredd	Legendary	Galactic	Mythic	If owned	9	60"
"Divastator	Legendary	Galactic	Mythic	If owned	10	60"
"Dimentio	Legendary	Galactic	Mythic	If owned	11	60"
"X'astuth	Heroic	Galactic	Mythic	If owned	12	90"
"Achernar	Legendary	Galactic	Mythic	If owned	13	60"
"Singularity Wizard	Exclusive	Galactic	Mythic	No	99	60"
"K'yu T'ypaï	Seasonal	Galactic	Mythic	No	14	60"
"Demon	Common	Mythic	Neutral	Yes	1	540"
"Snowmage	Seasonal	Mythic	Neutral	No	3	60"
"Leprechaun	Seasonal	Mythic	Neutral	No	4	60"
"Summoner	Legendary	Mythic	Neutral	If owned	12	60"
"Väinämöinen	Heroic	Mythic	Neutral	If owned	13	90"
"Techno Taoïst	Common	Mythic	Cyber	Yes	1	600"
"Mekali	PvP	Mythic	Cyber	If owned	2	60"
"Bazzinger	Legendary	Mythic	Cyber	If owned	3	60"
"Banker	Exclusive	Mythic	Cyber	No	4	60"
"Shadow Shaman	Legendary	Mythic	Cyber	If owned	5	60"
"Lily	Reactor	Mythic	Cyber	No	6	60"
"Dr. Frost	Legendary	Mythic	Cyber	If owned	7	60"
"FootBot	Legendary	Mythic	Cyber	If owned	8	60"
"Zenguru	Legendary	Mythic	Cyber	If owned	9	60"
"Mimi Timebender	Legendary	Mythic	Cyber	If owned	10	60"
"Orion	Heroic	Mythic	Cyber	If owned	11	60"
"Ethereal Cybermancer	Legendary	Mythic	Cyber	If owned	12	60"
"Boreal Helix	Seasonal	Mythic	Cyber	No	13	60"
"Archangel	Exclusive	Mythic	Cyber	No	99	60"
"Grim Reapress	Common	Mythic	Necro	Yes	1	1440"
"Prince Scorpion	Zodiac	Mythic	Necro	No	2	60"
"Anubis	Legendary	Mythic	Necro	Yes	3	180"
"Wicked Witch	Legendary	Mythic	Necro	If owned	4	60"
"Bones 'n' Roses	Legendary	Mythic	Necro	If owned	5	60"
"Sorceress	Legendary	Mythic	Necro	If owned	6	60"
"The Fates	Legendary	Mythic	Necro	If owned	7	60"
"Gozer	Legendary	Mythic	Necro	If owned	8	60"
"Hadeath	Legendary	Mythic	Necro	If owned	9	60"
"Yggdrasil	Heroic	Mythic	Necro	If owned	10	60"
"Nightmare Aberration	Legendary	Mythic	Necro	If owned	11	60"
"Maiden of Twilight	Heroic	Mythic	Necro	If owned	12	90"
"Gandolphus	Common	Mythic	Saber	Yes	1	1440"
"Captain Peace	Exclusive	Mythic	Saber	No	2	60"
"Oriax	Exclusive	Mythic	Saber	No	3	60"
"Mexihcatl	Exclusive	Mythic	Saber	No	4	60"
"Yelda	Video Game	Mythic	Saber	No	5	60"
"Wind Spirit	Heroic	Mythic	Saber	If owned	6	60"
"Amarok	Legendary	Mythic	Saber	If owned	7	60"
"Kudamono	Legendary	Mythic	Saber	If owned	8	60"
"Gorthaur the Cruel	Reactor	Mythic	Saber	No	9	60"
"Hephaestus	Legendary	Mythic	Saber	If owned	10	60"
"Midas	Legendary	Mythic	Saber	If owned	11	60"
"Generalissimo Chocoleon IV	Exclusive	Mythic	Saber	No	12	60"
"Avalon King	Legendary	Mythic	Saber	If owned	13	60"
"Nimrod	Legendary	Mythic	Saber	If owned	99	60"
"Medusa	Common	Mythic	Zoomorph	Yes	1	720"
"Horus	Secret	Mythic	Zoomorph	Yes	2	360"
"Ivory Hanzo	Reactor	Mythic	Zoomorph	No	3	60"
"Buranka	Legendary	Mythic	Zoomorph	If owned	4	60"
"Shinigami Painter	Legendary	Mythic	Zoomorph	If owned	5	60"
"Kung Chow	Legendary	Mythic	Zoomorph	If owned	6	60"
"Phoenix	Heroic	Mythic	Zoomorph	If owned	7	60"
"Omikami	Legendary	Mythic	Zoomorph	If owned	8	60"
"Draco Mage	Legendary	Mythic	Zoomorph	If owned	9	60"
"Master Paw	Exclusive	Mythic	Zoomorph	No	10	60"
"Ishi no Ōkami	PvP	Mythic	Zoomorph	If owned	11	60"
"Simurgh	Legendary	Mythic	Zoomorph	If owned	12	60"
"Tezcatlipoca	Exclusive	Mythic	Zoomorph	No	13	60"
"C'thlig	Common	Mythic	Galactic	Yes	1	1440"
"Azuria	PvP	Mythic	Galactic	If owned	2	60"
"Astro Magician	Legendary	Mythic	Galactic	If owned	3	60"
"Space Princess	Legendary	Mythic	Galactic	If owned	4	60"
"Nebulus	Zodiac	Mythic	Galactic	No	5	60"
"Puppetron	Legendary	Mythic	Galactic	If owned	6	60"
"Bug's King	Legendary	Mythic	Galactic	If owned	7	60"
"Majin Zam	Legendary	Mythic	Galactic	If owned	8	60"
"Xeleroth	Legendary	Mythic	Galactic	If owned	9	60"
"Bahamut	Legendary	Mythic	Galactic	If owned	10	60"
"Pierrot	Heroic	Mythic	Galactic	If owned	11	60"
"Algid Exocelestial	Exclusive	Mythic	Galactic	No	12	60"
"Vivaldi	Exclusive	Mythic	Galactic	No	13	60"
"Engineer	Legendary	Mythic	Galactic	If owned	99	60"
"Seraphic Core	Legendary	Mythic	Galactic	If owned	14	60"
"Pit Lord	Common	Mythic	Mythic	Yes	1	1080"
"Retribution	PvP	Mythic	Mythic	If owned	2	60"
"Blood Berry	Legendary	Mythic	Mythic	Yes	3	180"
"Monolith	Legendary	Mythic	Mythic	If owned	4	60"
"Glubber	Legendary	Mythic	Mythic	If owned	5	60"
"Namaste	Legendary	Mythic	Mythic	If owned	6	60"
"Geomega	Exclusive	Mythic	Mythic	No	7	60"
"Firestorm	Legendary	Mythic	Mythic	If owned	8	60"
"Liquidator	Legendary	Mythic	Mythic	If owned	9	60"
"Bregbeam	Legendary	Mythic	Mythic	If owned	10	60"
"Gerard Steelgarden	Heroic	Mythic	Mythic	If owned	11	60"
"Timeless Archivist	Heroic	Mythic	Mythic	If owned	12	90"
"Sakuraboshi	Legendary	Mythic	Mythic	If owned	13	60"
