"""Name",Categoría,Gen 1,Gen 2,Hibridable,Bingo,"Incubation"""
"""Veren Kaeesu",Exclusivo,Galáctico,Sable,No,11,"60"""
"""Stellarian Lithominer",Legendario,Galáctico,Sable,Si es de supropiedad,12,"60"""
"""Xenos",Común,Galáctico,Zoomorfo,Si,1,"1440"""
"""Shell Shock",PvP,Galáctico,Zoomorfo,Si es de supropiedad,2,"60"""
"""Wampara",Legendario,Galáctico,Zoomorfo,Si,3,"180"""
"""Rakk 'n' Ruin",Exclusivo,Galáctico,Zoomorfo,No,4,"60"""
"""Crawlorax",Legendario,Galáctico,Zoomorfo,Si es de supropiedad,5,"60"""
"""Kitty Perry",Legendario,Galáctico,Zoomorfo,Si es de supropiedad,6,"60"""
"""Paramic",Legendario,Galáctico,Zoomorfo,Si es de supropiedad,7,"60"""
"""Sgt. Pandamonium",Legendario,Galáctico,Zoomorfo,Si es de supropiedad,8,"60"""
"""Rox McRain",Legendario,Galáctico,Zoomorfo,Si es de supropiedad,9,"60"""
"""Angry Pork",Legendario,Galáctico,Zoomorfo,Si es de supropiedad,10,"60"""
"""Owlock",Legendario,Galáctico,Zoomorfo,Si es de supropiedad,11,"60"""
"""Ammonia Atlantica",Legendario,Galáctico,Zoomorfo,Si es de supropiedad,12,"60"""
"""Ctopy",Exclusivo,Galáctico,Zoomorfo,No,99,"60"""
"""Astro Surfer",Común,Galáctico,Galáctico,Si,1,"720"""
"""Supernovus",PvP,Galáctico,Galáctico,Si es de supropiedad,2,"60"""
"""Master Oida",Legendario,Galáctico,Galáctico,Si,3,"180"""
"""Flying Jordson",Legendario,Galáctico,Galáctico,Si es de supropiedad,4,"60"""
"""Selendis",PvP,Galáctico,Galáctico,Si es de supropiedad,5,"60"""
"""Rakkti Queen",Legendario,Galáctico,Galáctico,Si es de supropiedad,6,"60"""
"""Marship Mallow",Legendario,Galáctico,Galáctico,Si es de supropiedad,7,"60"""
"""Golemagnus",Legendario,Galáctico,Galáctico,Si es de supropiedad,8,"60"""
"""Megastral",Legendario,Galáctico,Galáctico,Si es de supropiedad,9,"60"""
"""Extra Terrorcycle",Legendario,Galáctico,Galáctico,Si es de supropiedad,10,"60"""
"""Gestalt Asteroid",Legendario,Galáctico,Galáctico,Si es de supropiedad,11,"60"""
"""Polaris",Exclusivo,Galáctico,Galáctico,No,12,"60"""
"""Irreality Animus",Exclusivo,Galáctico,Galáctico,No,99,"60"""
"""Nebulon",Común,Galáctico,Mitico,Si,1,"900"""
"""Mr Marvelous",Reactor,Galáctico,Mitico,No,2,"60"""
"""Aquapunzel",Zodiac,Galáctico,Mitico,No,3,"60"""
"""Mephisto",Legendario,Galáctico,Mitico,Si es de supropiedad,4,"60"""
"""Kraken",Legendario,Galáctico,Mitico,Si es de supropiedad,5,"60"""
"""Mandor",Legendario,Galáctico,Mitico,Si es de supropiedad,6,"60"""
"""Kal Wayne",Legendario,Galáctico,Mitico,Si es de supropiedad,7,"60"""
"""Seiyatsu",Exclusivo,Galáctico,Mitico,No,8,"60"""
"""Mage Ryzafredd",Legendario,Galáctico,Mitico,Si es de supropiedad,9,"60"""
"""Divastator",Legendario,Galáctico,Mitico,Si es de supropiedad,10,"60"""
"""Dimentio",Legendario,Galáctico,Mitico,Si es de supropiedad,11,"60"""
"""X'astuth",Heroico,Galáctico,Mitico,Si es de supropiedad,12,"90"""
"""Achernar",Legendario,Galáctico,Mitico,Si es de supropiedad,13,"60"""
"""Singularity Wizard",Exclusivo,Galáctico,Mitico,No,99,"60"""
"""K'yu T'ypaï",Seasonal,Galáctico,Mitico,No,14,"60"""
"""Demon",Común,Mitico,Neutro,Si,1,"540"""
"""Snowmage",Seasonal,Mitico,Neutro,No,3,"60"""
"""Leprechaun",Seasonal,Mitico,Neutro,No,4,"60"""
"""Summoner",Legendario,Mitico,Neutro,Si es de supropiedad,12,"60"""
"""Väinämöinen",Heroico,Mitico,Neutro,Si es de supropiedad,13,"90"""
"""Techno Taoïst",Común,Mitico,Cyber,Si,1,"600"""
"""Mekali",PvP,Mitico,Cyber,Si es de supropiedad,2,"60"""
"""Bazzinger",Legendario,Mitico,Cyber,Si es de supropiedad,3,"60"""
"""Banker",Exclusivo,Mitico,Cyber,No,4,"60"""
"""Shadow Shaman",Legendario,Mitico,Cyber,Si es de supropiedad,5,"60"""
"""Lily",Reactor,Mitico,Cyber,No,6,"60"""
"""Dr. Frost",Legendario,Mitico,Cyber,Si es de supropiedad,7,"60"""
"""FootBot",Legendario,Mitico,Cyber,Si es de supropiedad,8,"60"""
"""Zenguru",Legendario,Mitico,Cyber,Si es de supropiedad,9,"60"""
"""Mimi Timebender",Legendario,Mitico,Cyber,Si es de supropiedad,10,"60"""
"""Orion",Heroico,Mitico,Cyber,Si es de supropiedad,11,"60"""
"""Ethereal Cybermancer",Legendario,Mitico,Cyber,Si es de supropiedad,12,"60"""
"""Boreal Helix",Seasonal,Mitico,Cyber,No,13,"60"""
"""Archangel",Exclusivo,Mitico,Cyber,No,99,"60"""
"""Grim Reapress",Común,Mitico,Necro,Si,1,"1440"""
"""Prince Scorpion",Zodiac,Mitico,Necro,No,2,"60"""
"""Anubis",Legendario,Mitico,Necro,Si,3,"180"""
"""Wicked Witch",Legendario,Mitico,Necro,Si es de supropiedad,4,"60"""
"""Bones 'n' Roses",Legendario,Mitico,Necro,Si es de supropiedad,5,"60"""
"""Sorceress",Legendario,Mitico,Necro,Si es de supropiedad,6,"60"""
"""The Fates",Legendario,Mitico,Necro,Si es de supropiedad,7,"60"""
"""Gozer",Legendario,Mitico,Necro,Si es de supropiedad,8,"60"""
"""Hadeath",Legendario,Mitico,Necro,Si es de supropiedad,9,"60"""
"""Yggdrasil",Heroico,Mitico,Necro,Si es de supropiedad,10,"60"""
"""Nightmare Aberration",Legendario,Mitico,Necro,Si es de supropiedad,11,"60"""
"""Maiden of Twilight",Heroico,Mitico,Necro,Si es de supropiedad,12,"90"""
"""Gandolphus",Común,Mitico,Sable,Si,1,"1440"""
"""Captain Peace",Exclusivo,Mitico,Sable,No,2,"60"""
"""Oriax",Exclusivo,Mitico,Sable,No,3,"60"""
"""Mexihcatl",Exclusivo,Mitico,Sable,No,4,"60"""
"""Yelda",Video Game,Mitico,Sable,No,5,"60"""
"""Wind Spirit",Heroico,Mitico,Sable,Si es de supropiedad,6,"60"""
"""Amarok",Legendario,Mitico,Sable,Si es de supropiedad,7,"60"""
"""Kudamono",Legendario,Mitico,Sable,Si es de supropiedad,8,"60"""
"""Gorthaur the Cruel",Reactor,Mitico,Sable,No,9,"60"""
"""Hephaestus",Legendario,Mitico,Sable,Si es de supropiedad,10,"60"""
"""Midas",Legendario,Mitico,Sable,Si es de supropiedad,11,"60"""
"""Generalissimo Chocoleon IV",Exclusivo,Mitico,Sable,No,12,"60"""
"""Avalon King",Legendario,Mitico,Sable,Si es de supropiedad,13,"60"""
"""Nimrod",Legendario,Mitico,Sable,Si es de supropiedad,99,"60"""
"""Medusa",Común,Mitico,Zoomorfo,Si,1,"720"""
"""Horus",Secret,Mitico,Zoomorfo,Si,2,"360"""
"""Ivory Hanzo",Reactor,Mitico,Zoomorfo,No,3,"60"""
"""Buranka",Legendario,Mitico,Zoomorfo,Si es de supropiedad,4,"60"""
"""Shinigami Painter",Legendario,Mitico,Zoomorfo,Si es de supropiedad,5,"60"""
"""Kung Chow",Legendario,Mitico,Zoomorfo,Si es de supropiedad,6,"60"""
"""Phoenix",Heroico,Mitico,Zoomorfo,Si es de supropiedad,7,"60"""
"""Omikami",Legendario,Mitico,Zoomorfo,Si es de supropiedad,8,"60"""
"""Draco Mage",Legendario,Mitico,Zoomorfo,Si es de supropiedad,9,"60"""
"""Master Paw",Exclusivo,Mitico,Zoomorfo,No,10,"60"""
"""Ishi no Ōkami",PvP,Mitico,Zoomorfo,Si es de supropiedad,11,"60"""
"""Simurgh",Legendario,Mitico,Zoomorfo,Si es de supropiedad,12,"60"""
"""Tezcatlipoca",Exclusivo,Mitico,Zoomorfo,No,13,"60"""
"""C'thlig",Común,Mitico,Galáctico,Si,1,"1440"""
"""Azuria",PvP,Mitico,Galáctico,Si es de supropiedad,2,"60"""
"""Astro Magician",Legendario,Mitico,Galáctico,Si es de supropiedad,3,"60"""
"""Space Princess",Legendario,Mitico,Galáctico,Si es de supropiedad,4,"60"""
"""Nebulus",Zodiac,Mitico,Galáctico,No,5,"60"""
"""Puppetron",Legendario,Mitico,Galáctico,Si es de supropiedad,6,"60"""
"""Bug's King",Legendario,Mitico,Galáctico,Si es de supropiedad,7,"60"""
"""Majin Zam",Legendario,Mitico,Galáctico,Si es de supropiedad,8,"60"""
"""Xeleroth",Legendario,Mitico,Galáctico,Si es de supropiedad,9,"60"""
"""Bahamut",Legendario,Mitico,Galáctico,Si es de supropiedad,10,"60"""
"""Pierrot",Heroico,Mitico,Galáctico,Si es de supropiedad,11,"60"""
"""Algid Exocelestial",Exclusivo,Mitico,Galáctico,No,12,"60"""
"""Vivaldi",Exclusivo,Mitico,Galáctico,No,13,"60"""
"""Engineer",Legendario,Mitico,Galáctico,Si es de supropiedad,99,"60"""
"""Seraphic Core",Legendario,Mitico,Galáctico,Si es de supropiedad,14,"60"""
"""Pit Lord",Común,Mitico,Mitico,Si,1,"1080"""
"""Retribution",PvP,Mitico,Mitico,Si es de supropiedad,2,"60"""
"""Blood Berry",Legendario,Mitico,Mitico,Si,3,"180"""
"""Monolith",Legendario,Mitico,Mitico,Si es de supropiedad,4,"60"""
"""Glubber",Legendario,Mitico,Mitico,Si es de supropiedad,5,"60"""
"""Namaste",Legendario,Mitico,Mitico,Si es de supropiedad,6,"60"""
"""Geomega",Exclusivo,Mitico,Mitico,No,7,"60"""
"""Firestorm",Legendario,Mitico,Mitico,Si es de supropiedad,8,"60"""
"""Liquidador",Legendario,Mitico,Mitico,Si es de supropiedad,9,"60"""
"""Bregbeam",Legendario,Mitico,Mitico,Si es de supropiedad,10,"60"""
"""Gerard Steelgarden",Heroico,Mitico,Mitico,Si es de supropiedad,11,"60"""
"""Timeless Archivist",Heroico,Mitico,Mitico,Si es de supropiedad,12,"90"""
"""Sakuraboshi",Legendario,Mitico,Mitico,Si es de supropiedad,13,"60"""
